,location,total_poverty_estimate
0,"Aberdeen, SD",41450.0
1,"Aberdeen, WA",68852.0
2,"Abilene, TX ",156492.0
3,"Ada, OK",36923.0
4,"Adjuntas, PR",18125.0
5,"Adrian, MI",93387.0
6,"Aguadilla-Isabela, PR ",304964.0
7,"Akron, OH ",687835.0
8,"Alamogordo, NM",62297.0
9,"Albany, GA ",147567.0
10,"Albany, OR ",121504.0
11,"Albany-Schenectady-Troy, NY ",849542.0
12,"Albemarle, NC",59171.0
13,"Albert Lea, MN",29943.0
14,"Albertville, AL",93847.0
15,"Albuquerque, NM ",898151.0
16,"Alexander City, AL",40078.0
17,"Alexandria, LA ",146728.0
18,"Alexandria, MN",36685.0
19,"Alice, TX",40678.0
20,"Allentown-Bethlehem-Easton, PA-NJ ",810891.0
21,"Alma, MI",35314.0
22,"Alpena, MI",28009.0
23,"Altoona, PA ",120881.0
24,"Altus, OK",24526.0
25,"Amarillo, TX ",252899.0
26,"Americus, GA",33487.0
27,"Ames, IA ",86140.0
28,"Amsterdam, NY",48412.0
29,"Anchorage, AK ",390295.0
30,"Andrews, TX",17711.0
31,"Angola, IN",32821.0
32,"Ann Arbor, MI ",346217.0
33,"Anniston-Oxford-Jacksonville, AL ",111981.0
34,"Appleton, WI ",230781.0
35,"Arcadia, FL",34529.0
36,"Ardmore, OK",47537.0
37,"Arecibo, PR ",182951.0
38,"Arkadelphia, AR",19658.0
39,"Arkansas City-Winfield, KS",33388.0
40,"Asheville, NC ",440256.0
41,"Ashland, OH",51000.0
42,"Ashtabula, OH",94804.0
43,"Astoria, OR",37954.0
44,"Atchison, KS",15022.0
45,"Athens, OH",56175.0
46,"Athens, TN",51312.0
47,"Athens, TX",78936.0
48,"Athens-Clarke County, GA ",193852.0
49,"Atlanta-Sandy Springs-Roswell, GA ",5682907.0
50,"Atlantic City-Hammonton, NJ ",262851.0
51,"Atmore, AL",34383.0
52,"Auburn, IN",42150.0
53,"Auburn, NY",73276.0
54,"Auburn-Opelika, AL ",153342.0
55,"Augusta-Richmond County, GA-SC ",578058.0
56,"Augusta-Waterville, ME",117730.0
57,"Austin, MN",38893.0
58,"Austin-Round Rock, TX ",2017378.0
59,"Bainbridge, GA",25613.0
60,"Bakersfield, CA ",851826.0
61,"Baltimore-Columbia-Towson, MD ",2724252.0
62,"Bangor, ME ",145211.0
63,"Baraboo, WI",62601.0
64,"Bardstown, KY",44907.0
65,"Barnstable Town, MA ",210671.0
66,"Barre, VT",56211.0
67,"Bartlesville, OK",51029.0
68,"Bastrop, LA",25157.0
69,"Batavia, NY",57240.0
70,"Batesville, AR",36173.0
71,"Baton Rouge, LA ",806764.0
72,"Battle Creek, MI ",130682.0
73,"Bay City, MI ",103437.0
74,"Bay City, TX",36261.0
75,"Beatrice, NE",21141.0
76,"Beaumont-Port Arthur, TX ",391208.0
77,"Beaver Dam, WI",83093.0
78,"Beckley, WV ",115464.0
79,"Bedford, IN",44625.0
80,"Beeville, TX",24910.0
81,"Bellefontaine, OH",44738.0
82,"Bellingham, WA ",211566.0
83,"Bemidji, MN",43642.0
84,"Bend-Redmond, OR ",179760.0
85,"Bennettsville, SC",24122.0
86,"Bennington, VT",34482.0
87,"Berlin, NH-VT",35796.0
88,"Big Rapids, MI",40231.0
89,"Big Spring, TX",33040.0
90,"Big Stone Gap, VA",54310.0
91,"Billings, MT ",165127.0
92,"Binghamton, NY ",233052.0
93,"Birmingham-Hoover, AL ",1122705.0
94,"Bismarck, ND ",126539.0
95,"Blackfoot, ID",45140.0
96,"Blacksburg-Christiansburg-Radford, VA ",168434.0
97,"Bloomington, IL ",181394.0
98,"Bloomington, IN ",150613.0
99,"Bloomsburg-Berwick, PA ",79004.0
100,"Bluefield, WV-VA",99729.0
101,"Blytheville, AR",41917.0
102,"Bogalusa, LA",44453.0
103,"Boise City, ID ",681607.0
104,"Bonham, TX",31252.0
105,"Boone, IA",25854.0
106,"Boone, NC",48369.0
107,"Borger, TX",21442.0
108,"Boston-Cambridge-Newton, MA-NH ",4655175.0
109,"Boulder, CO ",309313.0
110,"Bowling Green, KY ",163690.0
111,"Bozeman, MT",101101.0
112,"Bradford, PA",38615.0
113,"Brainerd, MN",91469.0
114,"Branson, MO",84145.0
115,"Breckenridge, CO",30311.0
116,"Bremerton-Silverdale, WA ",255003.0
117,"Brenham, TX",32578.0
118,"Brevard, NC",32469.0
119,"Bridgeport-Stamford-Norwalk, CT ",926505.0
120,"Brookhaven, MS",33870.0
121,"Brookings, OR",22303.0
122,"Brookings, SD",30791.0
123,"Brownsville, TN",17553.0
124,"Brownsville-Harlingen, TX ",417698.0
125,"Brownwood, TX",35996.0
126,"Brunswick, GA ",114913.0
127,"Bucyrus, OH",41314.0
128,"Buffalo-Cheektowaga-Niagara Falls, NY ",1101196.0
129,"Burley, ID",43675.0
130,"Burlington, IA-IL",45582.0
131,"Burlington, NC ",156158.0
132,"Burlington-South Burlington, VT ",207880.0
133,"Butte-Silver Bow, MT",33865.0
134,"Cadillac, MI",47539.0
135,"Calhoun, GA",56084.0
136,"California-Lexington Park, MD ",108393.0
137,"Cambridge, MD",31807.0
138,"Cambridge, OH",38696.0
139,"Camden, AR",28772.0
140,"Campbellsville, KY",24357.0
141,"Ca�on City, CO",36230.0
142,"Canton, IL",32810.0
143,"Canton-Massillon, OH ",390922.0
144,"Cape Coral-Fort Myers, FL ",708633.0
145,"Cape Girardeau, MO-IL ",93737.0
146,"Carbondale-Marion, IL ",119238.0
147,"Carlsbad-Artesia, NM",56563.0
148,"Carroll, IA",19953.0
149,"Carson City, NV ",52340.0
150,"Casper, WY ",78632.0
151,"Cedar City, UT",49101.0
152,"Cedar Rapids, IA ",261096.0
153,"Cedartown, GA",41157.0
154,"Celina, OH",40268.0
155,"Central City, KY",30380.0
156,"Centralia, IL",37027.0
157,"Centralia, WA",75797.0
158,"Chambersburg-Waynesboro, PA ",151453.0
159,"Champaign-Urbana, IL ",223136.0
160,"Charleston, WV ",213650.0
161,"Charleston-Mattoon, IL",58833.0
162,"Charleston-North Charleston, SC ",741137.0
163,"Charlotte-Concord-Gastonia, NC-SC ",2436602.0
164,"Charlottesville, VA ",217000.0
165,"Chattanooga, TN-GA ",536885.0
166,"Cheyenne, WY ",95483.0
167,"Chicago-Naperville-Elgin, IL-IN-WI ",9378669.0
168,"Chico, CA ",221237.0
169,"Chillicothe, OH",71061.0
170,"Cincinnati, OH-KY-IN ",2118388.0
171,"Claremont-Lebanon, NH-VT",208412.0
172,"Clarksburg, WV",91088.0
173,"Clarksdale, MS",23214.0
174,"Clarksville, TN-KY ",271844.0
175,"Clearlake, CA",63040.0
176,"Cleveland, MS",31018.0
177,"Cleveland, TN ",117471.0
178,"Cleveland-Elyria, OH ",2020148.0
179,"Clewiston, FL",39441.0
180,"Clinton, IA",46065.0
181,"Clovis, NM",49118.0
182,"Coamo, PR",39207.0
183,"Coco, PR",28529.0
184,"Coeur d'Alene, ID ",151761.0
185,"Coffeyville, KS",32060.0
186,"Coldwater, MI",41087.0
187,"College Station-Bryan, TX ",237910.0
188,"Colorado Springs, CO ",692479.0
189,"Columbia, MO ",167385.0
190,"Columbia, SC ",781553.0
191,"Columbus, GA-AL ",295182.0
192,"Columbus, IN ",80855.0
193,"Columbus, MS",57660.0
194,"Columbus, NE",32561.0
195,"Columbus, OH ",1998748.0
196,"Concord, NH",142703.0
197,"Connersville, IN",22875.0
198,"Cookeville, TN",106330.0
199,"Coos Bay, OR",62319.0
200,"Cordele, GA",22355.0
201,"Corinth, MS",36479.0
202,"Cornelia, GA",41670.0
203,"Corning, NY",95216.0
204,"Corpus Christi, TX ",443194.0
205,"Corsicana, TX",47625.0
206,"Cortland, NY",44518.0
207,"Corvallis, OR ",84242.0
208,"Coshocton, OH",36030.0
209,"Craig, CO",12930.0
210,"Crawfordsville, IN",36581.0
211,"Crescent City, CA",24219.0
212,"Crestview-Fort Walton Beach-Destin, FL ",258693.0
213,"Crossville, TN",57663.0
214,"Cullman, AL",81016.0
215,"Cullowhee, NC",38442.0
216,"Cumberland, MD-WV ",90640.0
217,"Dallas-Fort Worth-Arlington, TX ",7167023.0
218,"Dalton, GA ",141531.0
219,"Danville, IL ",75190.0
220,"Danville, KY",50603.0
221,"Danville, VA",100287.0
222,"Daphne-Fairhope-Foley, AL ",204929.0
223,"Davenport-Moline-Rock Island, IA-IL ",373167.0
224,"Dayton, OH ",775040.0
225,"Dayton, TN",31573.0
226,"Decatur, AL ",149988.0
227,"Decatur, IL ",102956.0
228,"Decatur, IN",34374.0
229,"Defiance, OH",37505.0
230,"Del Rio, TX",47222.0
231,"Deltona-Daytona Beach-Ormond Beach, FL ",623650.0
232,"Deming, NM",23890.0
233,"Denver-Aurora-Lakewood, CO ",2815468.0
234,"DeRidder, LA",36363.0
235,"Des Moines-West Des Moines, IA ",622492.0
236,"Detroit-Warren-Dearborn, MI ",4271446.0
237,"Dickinson, ND",30166.0
238,"Dixon, IL",31258.0
239,"Dodge City, KS",33780.0
240,"Dothan, AL ",146234.0
241,"Douglas, GA",39068.0
242,"Dover, DE ",169188.0
243,"Dublin, GA",55754.0
244,"DuBois, PA",74368.0
245,"Dubuque, IA ",92938.0
246,"Duluth, MN-WI ",268567.0
247,"Dumas, TX",21512.0
248,"Duncan, OK",43163.0
249,"Dunn, NC",126783.0
250,"Durango, CO",53190.0
251,"Durant, OK",44425.0
252,"Durham-Chapel Hill, NC ",532410.0
253,"Dyersburg, TN",36737.0
254,"Eagle Pass, TX",57660.0
255,"Easton, MD",36747.0
256,"East Stroudsburg, PA ",165208.0
257,"Eau Claire, WI ",159703.0
258,"Edwards, CO",54012.0
259,"Effingham, IL",33555.0
260,"El Campo, TX",40931.0
261,"El Centro, CA ",170447.0
262,"El Dorado, AR",39251.0
263,"Elizabeth City, NC",60786.0
264,"Elizabethtown-Fort Knox, KY ",146697.0
265,"Elk City, OK",20675.0
266,"Elkhart-Goshen, IN ",199933.0
267,"Elkins, WV",26617.0
268,"Elko, NV",53242.0
269,"Ellensburg, WA",42313.0
270,"Elmira, NY ",80919.0
271,"El Paso, TX ",825633.0
272,"Emporia, KS",31605.0
273,"Enid, OK ",60443.0
274,"Enterprise, AL",50502.0
275,"Erie, PA ",263369.0
276,"Escanaba, MI",35663.0
277,"Espa�ola, NM",
278,"Eufaula, AL-GA",25132.0
279,"Eugene, OR ",361327.0
280,"Eureka-Arcata-Fortuna, CA",132483.0
281,"Evanston, WY",20397.0
282,"Evansville, IN-KY ",305706.0
283,"Fairbanks, AK ",95430.0
284,"Fairfield, IA",16901.0
285,"Fairmont, MN",19648.0
286,"Fairmont, WV",55110.0
287,"Fallon, NV",23483.0
288,"Fargo, ND-MN ",228422.0
289,"Faribault-Northfield, MN",57628.0
290,"Farmington, MO",59379.0
291,"Farmington, NM ",125375.0
292,"Fayetteville, NC ",367979.0
293,"Fayetteville-Springdale-Rogers, AR-MO ",514951.0
294,"Fergus Falls, MN",56976.0
295,"Fernley, NV",52888.0
296,"Findlay, OH",73543.0
297,"Fitzgerald, GA",16791.0
298,"Flagstaff, AZ ",127640.0
299,"Flint, MI ",404588.0
300,"Florence, SC ",200690.0
301,"Florence-Muscle Shoals, AL ",144274.0
302,"Fond du Lac, WI ",98994.0
303,"Forest City, NC",65306.0
304,"Forrest City, AR",22747.0
305,"Fort Collins, CO ",328456.0
306,"Fort Dodge, IA",33910.0
307,"Fort Leonard Wood, MO",43211.0
308,"Fort Madison-Keokuk, IA-IL-MO",57888.0
309,"Fort Morgan, CO",27796.0
310,"Fort Payne, AL",70215.0
311,"Fort Polk South, LA",48645.0
312,"Fort Smith, AR-OK ",276528.0
313,"Fort Wayne, IN ",424141.0
314,"Frankfort, IN",31414.0
315,"Frankfort, KY",70532.0
316,"Fredericksburg, TX",25826.0
317,"Freeport, IL",44575.0
318,"Fremont, NE",35592.0
319,"Fremont, OH",58050.0
320,"Fresno, CA ",961820.0
321,"Gadsden, AL ",101536.0
322,"Gaffney, SC",55880.0
323,"Gainesville, FL ",264334.0
324,"Gainesville, GA ",193957.0
325,"Gainesville, TX",38751.0
326,"Galesburg, IL",46840.0
327,"Gallup, NM",72225.0
328,"Garden City, KS",40214.0
329,"Gardnerville Ranchos, NV",47526.0
330,"Georgetown, SC",60936.0
331,"Gettysburg, PA ",97867.0
332,"Gillette, WY",46983.0
333,"Glasgow, KY",52533.0
334,"Glens Falls, NY ",121990.0
335,"Glenwood Springs, CO",75375.0
336,"Gloversville, NY",52533.0
337,"Goldsboro, NC ",120644.0
338,"Grand Forks, ND-MN ",96454.0
339,"Grand Island, NE ",83141.0
340,"Grand Junction, CO ",146542.0
341,"Grand Rapids, MN",44164.0
342,"Grand Rapids-Wyoming, MI ",1025604.0
343,"Grants, NM",25490.0
344,"Grants Pass, OR ",84411.0
345,"Great Bend, KS",26245.0
346,"Great Falls, MT ",79553.0
347,"Greeley, CO ",288048.0
348,"Green Bay, WI ",309576.0
349,"Greeneville, TN",66458.0
350,"Greenfield Town, MA",69705.0
351,"Greensboro-High Point, NC ",737440.0
352,"Greensburg, IN",26040.0
353,"Greenville, MS",46528.0
354,"Greenville, NC ",170510.0
355,"Greenville, OH",50857.0
356,"Greenville-Anderson-Mauldin, SC ",859318.0
357,"Greenwood, MS",38408.0
358,"Greenwood, SC",91775.0
359,"Grenada, MS",20780.0
360,"Guayama, PR ",74968.0
361,"Gulfport-Biloxi-Pascagoula, MS ",384116.0
362,"Guymon, OK",20642.0
363,"Hagerstown-Martinsburg, MD-WV ",253754.0
364,"Hailey, ID",28107.0
365,"Hammond, LA ",126621.0
366,"Hanford-Corcoran, CA ",134853.0
367,"Hannibal, MO",37265.0
368,"Harrisburg-Carlisle, PA ",548969.0
369,"Harrison, AR",44427.0
370,"Harrisonburg, VA ",123510.0
371,"Hartford-West Hartford-East Hartford, CT ",1166504.0
372,"Hastings, NE",29904.0
373,"Hattiesburg, MS ",144416.0
374,"Hays, KS",27667.0
375,"Heber, UT",30249.0
376,"Helena, MT",77167.0
377,"Helena-West Helena, AR",18837.0
378,"Henderson, NC",43700.0
379,"Hereford, TX",18631.0
380,"Hermiston-Pendleton, OR",83407.0
381,"Hickory-Lenoir-Morganton, NC ",357274.0
382,"Hillsdale, MI",44153.0
383,"Hilo, HI",194566.0
384,"Hilton Head Island-Bluffton-Beaufort, SC ",204748.0
385,"Hinesville, GA ",77884.0
386,"Hobbs, NM",67539.0
387,"Holland, MI",113955.0
388,"Homosassa Springs, FL ",140408.0
389,"Hood River, OR",22873.0
390,"Hope, AR",29952.0
391,"Hot Springs, AR ",96502.0
392,"Houghton, MI",36014.0
393,"Houma-Thibodaux, LA ",206356.0
394,"Houston-The Woodlands-Sugar Land, TX ",6691923.0
395,"Hudson, NY",59130.0
396,"Huntingdon, PA",40003.0
397,"Huntington, IN",34789.0
398,"Huntington-Ashland, WV-KY-OH ",349883.0
399,"Huntsville, AL ",438330.0
400,"Huntsville, TX",67941.0
401,"Huron, SD",18046.0
402,"Hutchinson, KS",60218.0
403,"Hutchinson, MN",35438.0
404,"Idaho Falls, ID ",141453.0
405,"Indiana, PA",79739.0
406,"Indianapolis-Carmel-Anderson, IN ",1964389.0
407,"Indianola, MS",22389.0
408,"Ionia, MI",60176.0
409,"Iowa City, IA ",160615.0
410,"Iron Mountain, MI-WI",29381.0
411,"Ithaca, NY ",89259.0
412,"Jackson, MI ",148782.0
413,"Jackson, MS ",558126.0
414,"Jackson, OH",31980.0
415,"Jackson, TN ",124259.0
416,"Jackson, WY-ID",34027.0
417,"Jacksonville, FL ",1446328.0
418,"Jacksonville, IL",35921.0
419,"Jacksonville, NC ",173402.0
420,"Jacksonville, TX",48662.0
421,"Jamestown, ND",19461.0
422,"Jamestown-Dunkirk-Fredonia, NY",124066.0
423,"Janesville-Beloit, WI ",158339.0
424,"Jasper, IN",53603.0
425,"Jayuya, PR",14650.0
426,"Jefferson, GA",65060.0
427,"Jefferson City, MO ",140465.0
428,"Jennings, LA",30929.0
429,"Jesup, GA",27402.0
430,"Johnson City, TN ",194268.0
431,"Johnstown, PA ",127569.0
432,"Jonesboro, AR ",125088.0
433,"Joplin, MO ",173764.0
434,"Junction City, KS",33889.0
435,"Juneau, AK",31799.0
436,"Kahului-Wailuku-Lahaina, HI ",162806.0
437,"Kalamazoo-Portage, MI ",327290.0
438,"Kalispell, MT",96940.0
439,"Kankakee, IL ",106517.0
440,"Kansas City, MO-KS ",2073330.0
441,"Kapaa, HI",70565.0
442,"Kearney, NE",53027.0
443,"Keene, NH",71648.0
444,"Kendallville, IN",46379.0
445,"Kennett, MO",29574.0
446,"Kennewick-Richland, WA ",280474.0
447,"Kerrville, TX",49789.0
448,"Ketchikan, AK",13585.0
449,"Key West, FL",74863.0
450,"Kill Devil Hills, NC",38962.0
451,"Killeen-Temple, TX ",412451.0
452,"Kingsport-Bristol-Bristol, TN-VA ",299750.0
453,"Kingston, NY ",171441.0
454,"Kingsville, TX",30152.0
455,"Kinston, NC",55958.0
456,"Kirksville, MO",26990.0
457,"Klamath Falls, OR",65300.0
458,"Knoxville, TN ",848165.0
459,"Kokomo, IN ",80959.0
460,"Laconia, NH",59706.0
461,"La Crosse-Onalaska, WI-MN ",131097.0
462,"Lafayette, LA ",480014.0
463,"Lafayette-West Lafayette, IN ",201344.0
464,"La Grande, OR",25274.0
465,"LaGrange, GA",67998.0
466,"Lake Charles, LA ",203608.0
467,"Lake City, FL",64026.0
468,"Lake Havasu City-Kingman, AZ ",201965.0
469,"Lakeland-Winter Haven, FL ",655361.0
470,"Lamesa, TX",11066.0
471,"Lancaster, PA ",525854.0
472,"Lansing-East Lansing, MI ",455260.0
473,"Laramie, WY",35840.0
474,"Laredo, TX ",268522.0
